address,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,hoaFee,status,price,listingType,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,mlsName,mlsNumber,agentName,agentPhone,agentEmail,agentWebsite,officeName,officePhone,officeEmail,officeWebsite,mostRecentHistoryEvent,mostRecentHistoryPrice,mostRecentHistoryDate
"Shepherds Creek Cir, Lot 33, Rutherfordton, NC 28139",Shepherds Creek Cir,Lot 33,Rutherfordton,NC,28139,Rutherford,35.40625747,-81.95026562,Land,,,,24394,,,Active,20000,Standard,2024-07-04T00:00:00.000Z,,2023-07-29T00:00:00.000Z,2025-02-11T09:06:09.649Z,223,CanopyMLS,4157756,Debbie Martin,8282862121,martinize1565@gmail.com,http://www.purplemartinrealtyinc.com,"Purple Martin Realty, Inc.",8282862121,martinize1565@gmail.com,http://www.century21firstrealty.com/,Sale Listing,20000,2024-07-04
"Shepherds Creek Cir, Lot 16, Rutherfordton, NC 28139",Shepherds Creek Cir,Lot 16,Rutherfordton,NC,28139,Rutherford,35.40624072,-81.95021049,Land,,,,40075,,,Active,20000,Standard,2024-07-04T00:00:00.000Z,,2023-07-29T00:00:00.000Z,2025-02-11T09:06:09.646Z,223,CanopyMLS,4157195,Debbie Martin,8282862121,martinize1565@gmail.com,http://www.purplemartinrealtyinc.com,"Purple Martin Realty, Inc.",8282862121,martinize1565@gmail.com,http://www.century21firstrealty.com/,Sale Listing,20000,2024-07-04
"Jumping Deer Dr, Rutherfordton, NC 28139",Jumping Deer Dr,,Rutherfordton,NC,28139,Rutherford,35.432125,-81.996066,Land,,,,453895,,,Active,124000,Standard,2024-06-12T00:00:00.000Z,,2024-06-13T00:00:00.000Z,2025-02-11T09:06:09.645Z,245,CanopyMLS,4150232,Mike Spurlin,8289808010,,,ODEAN KEEVER AND ASSOCIATES,8282861311,odeankeever@bellsouth.net,www.keeverrealestate.com,Sale Listing,124000,2024-06-12
"NC Highway, 226 Unit 15, Bostic, NC 28018",NC Highway,226 Unit 15,Bostic,NC,28018,Rutherford,35.538052,-81.798145,Land,,,,1404810,,,Active,182700,Standard,2024-07-04T00:00:00.000Z,,2024-07-05T00:00:00.000Z,2025-02-11T09:06:09.644Z,223,CanopyMLS,4157776,Roger Hawkins,7048278850,hawkinsrealestate1@gmail.com,http://www.hawkinsgroup.net,Hawkins Real Estate Group Inc.,7048278850,roger@hawkinsgroup.net,www.hawkinsgroup.net,Sale Listing,182700,2024-07-04
"Morgan Ammons Dr, Union Mills, NC 28167",Morgan Ammons Dr,,Union Mills,NC,28167,Rutherford,35.492657,-82.000742,Land,,,,1933193,,,Active,279900,Standard,2024-06-14T00:00:00.000Z,,2023-08-03T00:00:00.000Z,2025-02-11T09:06:09.637Z,243,CanopyMLS,4151235,David Stouffer,7043084778,dstouffer7374@gmail.com,https://david-stouffer.remax.com/,RE/MAX Crossroads,7047361717,remaxcrossroads@bellsouth.net,http://www.lincolntoncrossroads.com,Sale Listing,279900,2024-06-14
"Azule Dr, Bostic, NC 28018",Azule Dr,,Bostic,NC,28018,Rutherford,35.497623,-81.785012,Land,,,,175111,,54,Active,70000,Standard,2024-06-18T00:00:00.000Z,,2024-06-19T00:00:00.000Z,2025-02-11T09:06:09.631Z,239,CanopyMLS,4152295,Debbie Martin,8282862121,martinize1565@gmail.com,http://www.purplemartinrealtyinc.com,"Purple Martin Realty, Inc.",8282862121,martinize1565@gmail.com,http://www.century21firstrealty.com/,Sale Listing,70000,2024-06-18
"US 221 Hwy, Lot 64, Forest City, NC 28043",US 221 Hwy,Lot 64,Forest City,NC,28043,Rutherford,35.24501679,-81.86286728,Land,,,,1057550,,,Active,159000,Standard,2024-07-03T00:00:00.000Z,,2024-07-03T00:00:00.000Z,2025-02-11T09:06:09.631Z,224,CanopyMLS,4157101,Andrea Ochoa,7047058008,admin@collectiverealty.org,https://www.collectiverealty.org/,Collective Realty LLC,7047058008,admin@collectiverealty.orf,https://www.collectiverealty.org/,Sale Listing,159000,2024-07-03
"Baber Forest Dr, Units 14 & 15, Rutherfordton, NC 28139",Baber Forest Dr,Units 14 & 15,Rutherfordton,NC,28139,Rutherford,35.312662,-81.974123,Land,,,,114127,,,Active,75000,Standard,2024-06-19T00:00:00.000Z,,2023-02-11T00:00:00.000Z,2025-02-11T09:06:09.628Z,238,CanopyMLS,4152331,Todd Bennett,8284291526,tybrokre66@att.net,,Coldwell Banker Advantage,8283985700,bridget.adams@coldwellbanker.com,http://www.cbasheville.com,Sale Listing,75000,2024-06-19
"Moss Dr, Rutherfordton, NC 28139",Moss Dr,,Rutherfordton,NC,28139,Rutherford,35.30443141,-81.96856226,Land,,,,84506,,8,Active,89000,Standard,2024-06-15T00:00:00.000Z,,2020-09-15T08:17:53.031Z,2025-02-11T09:06:09.625Z,242,CanopyMLS,4150013,Becca Schweppe,7044729827,becca.schweppe@allentate.com,http://www.allentate.com/beccaschweppe/,Keller Williams Realty Mooresville,7047993700,donnasintay@kw.com,0255.yourkwoffice.com,Sale Listing,89000,2024-06-15
"The Falls Rd, Union Mills, NC 28167",The Falls Rd,,Union Mills,NC,28167,Rutherford,35.498182,-82.056961,Land,,,,7054542,,,Active,3149941,Standard,2024-06-03T00:00:00.000Z,,2024-06-04T00:00:00.000Z,2025-02-11T09:06:09.551Z,254,CanopyMLS,4108589,Erika Bradley,8286928275,erikabradleyrealtor@gmail.com,https://www.c21mountainlifestyles.com/realestate/agent/erika-bradley/,CENTURY 21 Mountain Lifestyles,8286928275,glennc@c21mountainlifestyles.com,http://www.c21ml.com/,Sale Listing,3149941,2024-06-03
